# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
292.6804	27.9597	3.08	+1.13	β¹	6	Cyg	2.0	-2.0
305.2529	-14.7814	3.08	+0.79	β	9	Cap	42.0	2.0
133.8483	5.9456	3.11	+1.00	ζ	16	Hya	-99.0	14.0
162.4062	-16.1936	3.11	+1.25	ν		Hya	94.0	200.0
274.4067	-36.7617	3.11	+1.56	η		Sgr	-128.0	-167.0
309.3917	-47.2914	3.11	+1.00	α		Ind	53.0	66.0
87.7400	-35.7683	3.12	+1.16	β		Col	59.0	401.0
140.2637	34.3925	3.13	+1.55	α	40	Lyn	-221.0	19.0
142.8054	-57.0344	3.13	+1.55				-32.0	4.0
173.9450	-63.0197	3.13	-0.04	λ		Cen	-41.0	-5.0
224.7904	-42.1042	3.13	-0.20	κ		Cen	-19.0	-24.0
254.6550	-55.9903	3.13	+1.60	ζ		Ara	-19.0	-36.0
134.8017	48.0417	3.14	+0.19	ι	9	UMa	-444.0	-226.0
258.7579	24.8392	3.14	+0.08	δ	65	Her	-21.0	-157.0
258.7617	36.8092	3.16	+1.44	π	67	Her	-26.0	4.0
76.6287	41.2344	3.17	-0.18	η	10	Aur	29.0	-68.0
99.4404	-43.1961	3.17	-0.11	ν		Pup	2.0	-6.0
143.2142	51.6772	3.17	+0.46	θ	25	UMa	-954.0	-531.0
257.1967	65.7147	3.17	-0.12	ζ	22	Dra	-20.0	22.0
281.4142	-26.9908	3.17	-0.11	φ	27	Sgr	53.0	0.0
72.4600	6.9614	3.19	+0.45	π³	1	Ori	466.0	12.0
76.3654	-22.3711	3.19	+1.46	ε	2	Lep	25.0	-74.0
220.6267	-64.9753	3.19	+0.24	α		Cir	-192.0	-232.0
254.4171	9.3750	3.20	+1.15	κ	27	Oph	-291.0	-10.0
318.2342	30.2269	3.20	+0.99	ζ	64	Cyg	1.0	-56.0
267.4646	-37.0433	3.21	+1.17				49.0	33.0
354.8367	77.6325	3.21	+1.03	γ	35	Cep	-67.0	151.0
230.3429	-40.6475	3.22	-0.22	δ		Lup	-15.0	-26.0
302.8263	-0.8214	3.23	-0.07	θ	65	Aql	38.0	4.0
322.1650	70.5608	3.23	-0.22	β	8	Cep	10.0	7.0
44.5654	-40.3047	3.24	+0.14	θ¹		Eri	-45.0	19.0
56.8096	-74.2389	3.24	+1.62	γ		Hyi	47.0	114.0
244.5804	-4.6925	3.24	+0.96	ε	2	Oph	85.0	41.0
284.7358	32.6894	3.24	-0.05	γ	14	Lyr	-2.0	2.0
112.3075	-43.3014	3.25	+1.51	σ		Pup	-55.0	187.0
275.3275	-2.8989	3.26	+0.94	η	58	Ser	-547.0	-700.0
9.8321	30.8608	3.27	+1.28	δ	31	And	136.0	-91.0
68.4992	-55.0450	3.27	-0.10	α		Dor	51.0	-3.0
102.0475	-61.9414	3.27	+0.21	α		Pic	-69.0	269.0
211.5929	-26.6825	3.27	+1.12	π	49	Hya	44.0	-139.0
260.5025	-24.9994	3.27	-0.22	θ	42	Oph	-4.0	-20.0
343.6625	-15.8208	3.27	+0.05	δ	76	Aqr	-40.0	-25.0
93.7192	22.5067	3.28	+1.60	η	7	Gem	-68.0	-12.0
226.0175	-25.2819	3.29	+1.70	σ	20	Lib	-73.0	-43.0
231.2325	58.9661	3.29	+1.16	ι	12	Dra	-9.0	17.0
16.5208	-46.7186	3.31	+0.89	β		Phe	-27.0	-1.0
78.2329	-16.2056	3.31	-0.11	μ	5	Lep	43.0	-26.0
183.8567	57.0325	3.31	+0.08	δ	69	UMa	104.0	9.0
153.4342	-70.0381	3.32	-0.08	ω		Car	-39.0	7.0
158.0058	-61.6853	3.32	-0.09				-19.0	9.0
286.7350	-27.6706	3.32	+1.19	τ	40	Sgr	-53.0	-251.0
258.0383	-43.2392	3.33	+0.41	η		Sco	24.0	-287.0
117.3237	-24.8597	3.34	+1.24	ξ	7	Pup	-3.0	-2.0
168.5600	15.4294	3.34	-0.01	θ	70	Leo	-61.0	-79.0
261.3483	-56.3775	3.34	-0.13	γ		Ara	-2.0	-12.0
269.7567	-9.7736	3.34	+0.99	ν	64	Oph	-7.0	-116.0
63.6062	-62.4739	3.35	+0.91	α		Ret	45.0	45.0
332.7138	58.2011	3.35	+1.57	ζ	21	Cep	15.0	4.0
81.1192	-2.3969	3.36	-0.17	η	28	Ori	2.0	0.0
101.3225	12.8956	3.36	+0.43	ξ	31	Gem	-116.0	-191.0
127.5662	60.7181	3.36	+0.84	ο	1	UMa	-133.0	-107.0
291.3746	3.1147	3.36	+0.32	δ	30	Aql	257.0	82.0
203.6733	-0.5958	3.37	+0.11	ζ	79	Vir	-285.0	42.0
230.6704	-44.6894	3.37	-0.18	ε		Lup	-19.0	-13.0
28.5987	63.6700	3.38	-0.15	ε	45	Cas	32.0	-21.0
131.6942	6.4189	3.38	+0.68	ε	11	Hya	-189.0	-51.0
193.9008	3.3975	3.38	+1.58	δ	43	Vir	-469.0	-54.0
46.2942	38.8403	3.39	+1.65	ρ	25	Per	130.0	-106.0
67.1654	15.8708	3.40	+0.18	θ²	78	Tau	103.0	-25.0
154.2708	-61.3322	3.40	+1.54				-24.0	5.0
340.3654	10.8314	3.40	-0.09	ζ	42	Peg	80.0	-13.0
22.0913	-43.3183	3.41	+1.57	γ		Phe	-14.0	-209.0
28.2704	29.5789	3.41	+0.49	α	2	Tri	11.0	-235.0
207.3762	-41.6878	3.41	-0.22	ν		Cen	-22.0	-21.0
228.0712	-52.0992	3.41	+0.92	ζ		Lup	-112.0	-73.0
240.0304	-38.3969	3.41	-0.22	η		Lup	-22.0	-32.0
266.6146	27.7206	3.42	+0.75	μ	86	Her	-311.0	-751.0
311.2396	-66.2031	3.42	+0.16	β		Pav	-46.0	12.0
311.3225	61.8389	3.43	+0.92	η	3	Cep	87.0	818.0
12.2750	57.8158	3.44	+0.57	η	24	Cas	1100.0	-529.0
