# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0223	G	35.50458	-20.74592	14.09	B	1.15	0.59	143	
IC0224	G	36.18808	-12.56447	15.00	B	0.86	0.59	130	
IC0225	G	36.61788	1.16053	14.83	B	1.01	0.90	158	
IC0226	G	36.94138	28.20883	16.00	B	0.81	0.72	55	
IC0227	G	37.01504	28.17533	15.39	B	2.01	1.77	80	
IC0229	Other	36.84204	-23.81300						
IC0230	G	37.19704	-10.83136	15.54	B	0.64	0.42	87	
IC0231	G	37.48496	1.17908	15.14	B	0.74	0.33	162	
IC0232	G	37.79842	1.26564	14.30	B	1.10	0.67	154	
IC0233	G	37.91958	2.80992	15.53	B	0.33	0.26	100	
IC0234	G	37.90717	-0.14025	15.22	B	0.69	0.35	158	
IC0235	G	38.21162	20.64125	14.35	V	0.39	0.30	35	
IC0236	G	38.23254	-0.13125	15.97	B	0.74	0.37	23	
IC0237	G	38.38154	1.13989	14.71	B	0.54	0.51	11	
IC0238	G	38.84450	12.83772	14.02	B	1.38	0.79	35	
IC0239	G	39.11617	38.96992	11.20	V	4.25	4.01	75	
IC0240	Other	39.74404	41.71942						
IC0241	G	39.47708	2.32803	14.48	B	0.90	0.59	152	
IC0243	G	39.63400	-6.90214	15.46	B	1.22	0.70	20	
IC0244	G	39.85304	2.72881	15.26	B	0.70	0.47	176	
IC0245	G	39.72767	-14.30556	15.00	B	1.11	0.29	25	
IC0246	G	40.11917	2.47864	15.39	B	0.69	0.61	48	
IC0247	G	40.03658	-11.73378	14.74	B	0.88	0.64	45	
IC0248	G	40.35763	17.81222	14.35	B	0.99	0.74	147	
IC0250	G	40.22612	-13.31356	15.05	B	0.91	0.73	178	
IC0251	G	40.30771	-14.95783	15.00	B	0.84	0.74	96	
IC0252	G	40.43804	-14.84825	15.35	B	1.01	0.62	26	
IC0253	G	40.52396	-15.04683	14.87	B	0.95	0.74	162	
IC0254	G	40.52075	-15.10664	14.91	B	0.26	0.25	55	
IC0255	G	41.76337	16.28803	15.68	B	0.59	0.40	45	
IC0256	G	42.41792	46.95467	14.31	B	0.46	0.29	30	
IC0257	G	42.43933	46.97619	12.68	V	1.93	1.19	154	
IC0258	G	42.44208	41.05167	15.52	B	1.48	1.23	170	
