8422687	43.0533	-70.9133	T	Squamscott River RR. Bridge, NH
8423635	43.0900	-70.7633	T	Atlantic Heights, NH
8423745	43.0783	-70.7517	T	Portsmouth, NH
8423898	43.0717	-70.7117	T	Fort Point, NH
8424601	43.0567	-70.7133	T	Jaffrey Point, NH
8427031	42.9783	-70.6150	T	Gosport Harbor, Isles of Shoals, NH
8429489	42.8950	-70.8167	T	Hampton Harbor, NH
8440273	42.8383	-70.9083	T	Salisbury Point, MA
8440369	42.8250	-70.9883	T	Merrimacport, MA
8440452	42.8167	-70.8200	T	Plum Island, Merrimack River Entrance, MA
8440466	42.8150	-70.8733	T	Newburyport, MA
8440889	42.7639	-71.0340	T	Riverside, MA
8441241	42.7101	-70.7886	T	Plum Island Sound (south end), MA
8441551	42.6583	-70.6150	T	Rockport, MA
8441571	42.6550	-70.6767	T	Annisquam, Lobster Cove, MA
8441771	42.6317	-70.7767	T	Essex, MA
8441841	42.6100	-70.6600	T	Gloucester Harbor, MA
8442417	42.5400	-70.8867	T	Beverly, Beverly Harbor, MA
8442645	42.5233	-70.8767	T	Salem, Salem Harbor, MA
8443187	42.4583	-70.9433	T	Lynn, Lynn Harbor, MA
8443662	42.3950	-71.0767	T	Amelia Earhart Dam, Mystic River, MA
8443725	42.3867	-71.0233	T	Chelsea St. Bridge, Chelsea River, MA
8443838	42.3717	-71.0550	T	Charlestown, Charles River entrance, MA
8443970	42.3539	-71.0503	T	BOSTON, MA
8444012	42.3483	-70.9600	T	Deer Island (south end), MA
8444162	42.3283	-70.8917	T	Boston Light, MA
8444312	42.3083	-70.9917	T	Moon Head, MA
8444351	42.3033	-70.9200	T	Hull, MA
8444488	42.2850	-71.0400	T	Neponset, Neponset River, MA
8444525	42.2800	-70.9533	T	Nut Island, Quincy Bay, MA
8444601	42.2700	-70.8600	T	Nantasket Beach, Weir River, MA
8444662	42.2617	-70.8933	T	Crow Point, Hingham Harbor entrance, MA
8444762	42.2483	-70.7850	T	Cohasset Harbor (White Head), MA
8444775	42.2467	-70.8850	T	Hingham, MA
8444788	42.2483	-70.9667	T	Weymouth Fore River Bridge, MA
8445138	42.2017	-70.7267	T	Scituate, Scituate Harbor, MA
8445425	42.1600	-70.7333	T	Damons Point, North River, MA
8446009	42.0833	-70.6467	T	Brant Rock, Green Harbor River, MA
8446121	42.0496	-70.1822	T	Provincetown, MA
8446166	42.0383	-70.6700	T	Duxbury, Duxbury Harbor, MA
8446493	41.9600	-70.6617	T	Plymouth, MA
8446613	41.9300	-70.0417	T	Wellfleet, MA
8447173	41.7750	-70.5350	T	Cape Cod Canal, Sagamore, MA
8447180	41.7717	-70.5067	T	Sandwich Marina, Cape Cod Canal, east entrance, MA
